彖	彑𧰨 hu
禀	亠示 wu
缶	午凵 wk
脔	亠肉 wr
膏	亠⺝ wo
蔗	艹灬 ch
虢	爫几 vj
蠃	亡虫 wi
言	亠口 wk
赤	土{亦下} tb
蹼	𧾷夫 zf
躐	𧾷{鼠下} zv
醭	酉夫 yf
镳	钅灬 jh
隺	冖{隹右} bv
馨	士日 to
鬲	{一}丨 al
鸾	亠鸟 wn
鼋	元电 yd
鼍	口电 kd
举	𭕄𰀁 xf
介	𠆢{⿰丿丨} rl
养	⺶{⿰丿丨} yl
凫	{鸟减一}几 nj
夜	亠{夜右下} ww
央	{囗-一}人 kr
手	丿{𰀁} pf
斯	卄斤 cj
氘	气{⿰丿丨} ql
烕	戊火 wh
爒	𱼀小 xx
甚	卄八 cb
穙	禾夫 hf
赏	龸贝 xb
释	釆𰀁 cf
飨	乡艮 xg
鬣	E{鼠下} ev
鼎	爿目 po
亘	{一}旦 ad
以	𠄌人 lr
函	凵{水} ku
印	𠀉卩 pe
坒	匕土 bt
基	卄土 ct
奏	𡗗天 it
妻	十女 un
嶲	山{凹-一} uk
惎	卄心 cx
愭	忄日 xo
春	𡗗日 io
更	一乀 an
曹	艹曰 co
期	卄月 co
榰	木日 mo
毕	匕十 bu
毙	匕匕 bb
泰	𡗗氺 iu
滫	氵⺝ do
瀌	氵灬 dh
眉	𠃜目 uo
秦	𡗗禾 ih
稙	禾{具-八} hq
窥	宀见 bj
綦	卄糸 cx
羲	𦍌丂 yk
翘	𫠠习 yx
舂	𡗗臼 ij
衢	彳{隹右} rv
观	又见 yj
规	夫见 fj
觅	爫见 vj
视	礻见 pj
觉	𰃮见 xj
觊	山见 uj
邋	辶{鼠下} zv
邦	丰⻏ fe
镤	钅夫 jf
雀	小{隹右} xv
雅	牙{隹右} yv
雎	且{隹右} qv
靓	龶见 fj
顷	匕页 by
食	𠆢艮 rg
飧	夕艮 xg
餍	厂艮 ig
饔	亠艮 wg
鳍	鱼日 yo
齐	文{⿰丿丨} wl
专	土龴 ts
值	亻{具-八} rq
免	⺈儿 de
农	冖𧘇 by
制	牛刂 nd
副	{一}刂 ad
北	{北左}匕 lb
卑	{卑上}十 pu
单	丷十 bu
叠	又且 yq
埴	土{具-八} tq
宽	宀见 bj
探	扌木 fm
擢	扌{隹右} fv
攉	扌{隹右} fv
曜	日{隹右} ov
植	木{具-八} mq
殖	歹{具-八} dq
殷	㐆殳 pu
澭	氵{隹右} dv
濉	氵{隹右} dv
濯	氵{隹右} dv
獾	犭{隹右} qv
癯	疒{隹右} bv
矗	十{具-八} uq
离	亠禸 wn
粛	肀米 ym
绛	纟㐄 sf
置	罒{具-八} sq
罹	罒{隹右} sv
耀	光{隹右} gv
臃	⺼{隹右} ov
蕹	艹{隹右} cv
袅	{鸟减一}衣 ny
豕	一𧰨 au
豸	丿丿 pp
趯	土{隹右} tv
躏	𧾷{隹右} zv
隹	亻{隹右} rv
雄	𠂇{隹右} uv
鹿	广匕 gb
万	丆𠃌 av
上	⺊一 ba
下	一卜 ab
不	丆卜 ab
丕	不一 ba
丘	斤一 ja
丸	九丶 jd
乃	丿𠄎 pv
久	丿乀 pn
乡	𠃋𠂈 vp
书	𠃍丶 vd
乩	占乚 vv
了	乛亅 al
偎	亻{𧘇-丿} ry
冁	丷{𧘇-丿} by
匝	匚巾 kj
匠	匚斤 kj
卡	上卜 ub
卧	臣卜 ib
卵	𠂎丶 pd
及	丿乀 pn
叚	尸又 uy
喂	口{𧘇-丿} ky
墨	{里}土 lt
嬥	女{隹右} nv
尢	𠂇乚 uv
尹	⺕丿 ep
展	尸{𧘇-丿} uy
州	丶丨 dl
巨	匚コ kk
幸	土干 tg
弓	𠃍㇉ vv
弼	弓百 gb
我	戈㇀ ga
所	戶斤 hj
承	了乀 ln
掰	手手 uu
搌	扌{𧘇-丿} fy
斠	𠀎斗 fd
斥	斤丶 jd
旅	方{𧘇} fy
曲	囗艹 kc
柬	十人 ur
氐	氏丶 ud
灈	氵{隹右} dv
焘	{寿上丰}灬 fh
煨	火{𧘇-丿} hy
爟	火{隹右} hv
片	丿𠃍 pv
猥	犭{𧘇-丿} qy
畏	田{𧘇-丿} ty
碨	石{𧘇-丿} uy
碾	石{𧘇-丿} uy
穰	禾𠀎 hf
粤	丿丂 pk
粥	弓米 gm
聘	耳丂 ek
聿	肀干 yg
肆	E聿 ey
胤	儿⺝ eo
臣	匚丨 kl
览	丨见 lj
豆	一䒑 ab
辗	车{𧘇-丿} iy
辰	厂{𧘇-丿} iy
隈	⻖{𧘇-丿} ey
髦	E毛 em
鬟	E𧘇 ey
鬻	弓鬲 gg
鳂	鱼{𧘇-丿} yy
黄	卄八 cb
黑	{里}灬 lh
黼	业甫 yf
丛	人一 ra
丢	丿去 pq
严	一厂 ai
个	𠆢丨 rl
丫	丷丨 bl
中	口丨 kl
串	口丨 kl
乂	丿乀 pn
义	丶乂 dx
乐	丿小 px
买	乛⺀ ad
乳	爫乚 vv
乾	十乙 uv
予	龴亅 sl
亏	一丂 ak
亓	一丌 aw
井	一廾 ac
亡	亠𠃊 wv
亨	亠了 wl
亵	衣丸 yw
今	𠆢㇇ rv
俜	亻丂 rk
俭	亻佥 rq
偃	亻女 rn
僇	亻彡 rp
儇	亻𧘇 ry
儳	亻兔 rt
兜	丿儿 pe
再	一冉 ar
冢	冖豖 bu
凡	几丶 jd
凶	凵㐅 kx
凼	凵水 ku
利	禾刂 hd
剿	巛刂 vd
助	且力 ql
匐	勹田 bt
卅	一川 ai
卉	十廾 uc
卓	⺊十 bu
卫	𰆊一 ea
卬	丿卩 pe
卺	了㔾 lv
压	厂丶 id
厖	厂丿 ip
厣	厂甲 ij
厾	⺄去 vq
县	且厶 qs
叉	又丶 yd
取	耳又 ey
司	𠃌口 vk
哀	衣口 yk
啄	口豖 ku
喙	口𧰨 ku
嘁	口小 kx
嘴	口用 ky
噱	口豕 ku
嚷	口𠀎 kf
囟	丿㐅 px
囱	丿夂 pw
圜	囗𧘇 ky
堰	土女 tn
壤	土𠀎 tf
壬	丿士 pt
夏	𦣻夂 bw
夬	ユ人 vr
夷	一人 ar
夹	一人 ar
奔	大廾 dc
奥	丿大 pd
娉	女丂 nk
嫪	女彡 np
嬛	女𧘇 ny
孅	女韭 nj
孰	亠丸 ww
官	宀㠯 bl
寥	宀彡 bp
寰	宀𧘇 by
射	身寸 uc
尕	乃小 nx
尘	小土 xt
尤	尢丶 yd
尨	龙丿 lp
尺	尸乀 un
岙	夭山 yu
岳	丘山 qu
崄	山佥 uq
巉	山兔 ut
平	一十 au
并	丷开 bk
幼	幺力 yl
庸	广月 go
廖	广彡 gp
弁	厶廾 sc
异	巳廾 sc
弄	王廾 wc
弇	𠆢廾 rc
弊	⺌廾 xc
弯	亠弓 wg
归	リ彐 le
彔	彑⺢ hu
彬	木彡 mp
彭	士彡 tp
必	心丿 xp
忝	天⺗ tx
恭	共⺗ gx
悲	非心 fx
惠	𤰔心 ix
惬	忄夹 xj
愕	忄丂 xk
慕	艹⺗ cx
成	戊𠃌 wv
戕	爿戈 pg
戚	戊小 wx
戛	𦣻戈 bg
抃	扌卜 fb
拔	扌又 fy
拳	龹手 ju
挖	扌乙 fv
挛	亠手 wu
捡	扌佥 fq
掭	扌⺗ fx
掾	扌𧰨 fu
揠	扌女 fn
搴	宀手 bu
携	扌乃 fn
摩	广手 gu
摹	艹手 cu
撬	扌毛 fm
擐	扌𧘇 fy
擘	尸手 uu
攘	扌𠀎 ff
收	丩攵 jw
敕	束攵 uw
整	束正 uv
斝	口斗 kd
斡	十斗 ud
斧	父斤 fj
斩	车斤 ij
斶	斤虫 ji
旬	勹日 bo
旭	九日 jo
昪	日廾 oc
晋	亚日 yo
曦	日丂 ok
曩	日𠀎 of
曳	日丿 op
本	木一 ma
杂	九木 jm
束	𰀉人 gr
来	一木 am
桌	⺊木 bm
梵	木凡 mf
检	木佥 mq
棽	木㇇ mv
椽	木𧰨 mu
槭	木小 mx
樗	木丂 mk
橇	木毛 mm
橐	𰀉木 gm
欣	斤欠 jq
武	弋止 yv
每	𠂉母 pm
毐	士毋 tm
毪	毛牛 mn
毫	亠毛 wm
氅	⺌毛 xm
氍	目毛 om
水	丨ㄟ ln
沔	氵丏 dg
洚	氵㐄 df
涄	氵丂 dk
涿	氵豖 du
淠	氵丌 dw
添	氵⺗ dx
渊	氵丨 dl
渰	氵廾 dc
渺	氵少 du
溷	氵豕 du
漻	氵彡 dp
澧	氵䒑 db
澴	氵𧘇 dy
澽	氵豕 du
煭	巛灬 vh
牒	片木 pm
牻	牜丿 np
猃	犭佥 qq
班	𤣩リ wl
琢	𤣩豖 wu
瑑	𤣩𧰨 wu
璆	𤣩彡 wp
璩	𤣩豕 wu
瓣	辛瓜 xg
瓤	衣瓜 yg
甄	覀瓦 xw
甓	尸瓦 uw
甗	虍瓦 hw
甦	更生 gu
由	日丨 ol
甲	日丨 ol
申	日丨 ol
甸	勹田 bt
甾	巛田 vt
畿	戈田 gt
疋	乛龰 az
痹	疒丌 bw
瘃	疒豖 bu
瘳	疒彡 bp
癸	癶天 bt
盉	禾皿 hm
眄	目丏 og
看	龵目 uo
睑	目佥 oq
睾	丿干 pg
睿	⺊目 bo
示	二小 ex
祓	礻又 py
禳	礻𠀎 pf
禺	田丶 td
禾	丿木 pm
稻	禾臼 hj
究	宀九 bj
穹	宀弓 bg
穿	宀牙 by
窀	宀屯 bt
窊	宀瓜 bg
窍	宀丂 bk
窕	宀兆 bv
窜	宀串 bi
窳	宀瓜 bg
笸	竹口 vk
签	竹佥 vq
箅	竹丌 vw
篆	竹𧰨 vu
粼	米巜 mv
繄	匚糸 kx
绂	纟又 sy
继	纟米 sm
缘	纟𧰨 su
缪	纟彡 sp
缳	纟𧘇 sy
羼	尸羊 uy
羿	习廾 xc
翳	匚习 kx
耄	老毛 lm
耽	耳儿 ee
肄	匕聿 by
肇	户聿 hy
胥	疋⺝ zo
脸	⺼佥 oq
腭	⺼丂 ok
臧	𠃊臣 vi
至	𠫔土 gt
舁	臼廾 jc
舒	𠆢予 ry
舔	舌⺗ ux
艴	弗巴 fb
苄	艹卜 cb
莶	艹佥 cq
萼	艹丂 ck
蒙	艹豕 cu
蒱	艹甫 cf
蓥	艹金 cj
蓼	艹彡 cp
蔼	艹人 cr
蕺	艹耳 ce
薤	艹韭 cj
藏	艹臣 ci
虑	虍心 hx
虱	⺄虫 vi
虺	兀虫 wi
蚩	屮虫 ci
蛋	疋虫 zi
蠡	彑虫 hi
蠹	𰀉虫 gi
血	丿皿 pm
行	彳丁 rd
衍	彳氵 rd
衎	彳干 rg
衒	彳玄 rx
衔	彳钅 rj
街	彳土 rt
衙	彳口 rk
衠	彳八 rb
衡	彳大 rd
衷	衣中 yv
袤	衣矛 ym
裒	衣臼 yj
裣	衤佥 pq
裹	衣果 yg
褒	衣木 ym
襄	衣𠀎 yf
襕	衤柬 pj
訇	勹口 bk
诼	讠豖 yu
谬	讠彡 yp
豢	龹豕 ju
豪	亠豕 wu
貌	豸儿 ve
质	𠂆贝 ib
贯	毌贝 mb
费	弗贝 fb
跋	𧾷又 zy
辄	车𠃊 iv
辨	辛リ xl
迅	辶十 zu
逼	辶田 zt
遐	辶又 zy
遘	辶冉 zr
遽	辶豕 zu
邈	辶儿 ze
邕	巛巴 vb
邪	牙⻏ ye
郾	匚⻏ ke
酋	丷酉 by
醪	酉彡 yp
醴	酉䒑 yb
醵	酉豕 yu
釉	采由 cy
野	里予 ly
金	𠆢丷 rb
鍪	矛金 mj
鏊	龶金 fj
鏖	鹿金 lj
鐾	尸金 uj
钷	钅口 jk
锷	钅丂 jk
镠	钅彡 jp
镮	钅𧘇 jy
镶	钅𠀎 jf
陋	⻖内 en
降	⻖㐄 ef
险	⻖佥 eq
隳	⻖⺗ ex
隽	亻乃 rn
霭	雨人 yr
靳	革斤 gj
韩	十韦 uw
韪	日韦 ow
须	彡页 py
颀	斤页 jy
馥	禾夂 hw
骋	马丂 mk
验	马佥 mq
骧	马𠀎 mf
髎	冎彡 gp
髡	E兀 ew
魃	鬼又 gy
鲅	鱼又 yy
鳄	鱼丂 yk
鳢	鱼䒑 yb
鸦	牙鸟 yn
黍	禾氺 hu
黎	禾氺 hu
黏	禾占 hv
黧	禾灬 hh
黹	业小 yx
鼒	才目 co
鼠	臼{鼠下} jv
鼻	自丌 zw
东	一小 ax
乍	𠂉二 pe
乖	千北 qb
乘	千人 qr
云	一𠫔 ag
交	亠父 wf
亥	亠人 wr
享	亠子 wz
亭	亠丁 wd
亮	亠几 wj
亳	亠七 wq
亸	亠十 wu
仰	亻卩 re
佩	亻巾 rj
侂	亻七 rq
侔	亻牛 rn
俊	亻夂 rw
俎	人且 rq
俞	𠆢刂 rd
俟	亻矢 ru
俺	亻电 rd
倍	亻口 rk
假	亻又 ry
傅	亻寸 rc
傲	亻攵 rw
僚	亻小 rx
僭	亻曰 ro
僻	亻辛 rx
儋	亻口 rk
儡	亻田 rt
儦	亻灬 rh
元	一兀 aw
先	⺧儿 ne
光	⺌儿 xe
克	十兄 ux
兑	丷兄 bx
兖	六允 ly
兢	十兄 ux
公	八厶 bs
兰	丷三 bs
共	卄八 cb
关	丷天 bt
兴	𭕄八 xb
兹	丷幺 by
兽	丷口 bk
冀	北共 bg
内	冂人 kr
冉	冂土 kt
册	⺆一 ka
冥	冖六 bl
决	冫夬 dg
凌	冫夂 dw
凛	冫示 du
凯	山几 uj
出	山山 uu
刀	𠃌丿 vp
分	八刀 bd
切	七刀 qd
划	戈刂 gd
刖	月刂 od
刘	文刂 wd
则	贝刂 bd
券	龹刀 jd
剀	山刂 ud
前	丷刂 bd
剐	口刂 kd
剑	佥刂 qd
剖	立刂 ld
剟	又刂 yd
劂	厂刂 id
劈	尸刀 ud
劐	艹刂 cd
劝	又力 yl
功	工力 gl
加	力口 lk
动	云力 yl
劳	艹力 cl
勃	十力 ul
勒	革力 gl
募	艹力 cl
勰	力心 lx
匏	大包 db
匙	日匕 ob
卒	亠十 wu
南	十干 ug
博	十寸 uc
卷	龹㔾 jv
厌	厂犬 iq
厥	厂欠 iq
又	㇇乀 vn
友	𠂇又 uy
受	爫又 vy
变	亠又 wy
叟	𦥔又 jy
召	刀口 dk
史	口乀 kn
右	𠂇口 uk
吉	士口 tk
吒	口七 kq
吝	文口 wk
含	𠆢口 rk
启	户口 hk
吾	五口 wk
告	⺧口 nk
周	⺆口 kk
咒	口几 kj
哉	戈口 gk
哌	口{𧘇} ky
哞	口牛 kn
哭	口犬 kq
哱	口子 kz
唆	口夂 kw
唇	辰口 ik
唉	口矢 ku
售	亻口 rk
唵	口电 kd
啕	口缶 kf
啜	口又 ky
喇	口刂 kd
喋	口木 km
喾	𰃮口 xk
嗍	口月 ko
嗑	口皿 km
嗒	口口 kk
嗖	口又 ky
嗜	口日 ko
嗣	口口 kk
嗥	口十 ku
嗷	口攵 kw
嗽	口欠 kq
嘀	口古 kg
嘹	口小 kx
噘	口欠 kq
器	口口 kk
噬	口人 kr
噼	口辛 kx
嚄	口又 ky
嚆	口口 kk
嚚	口口 kk
嚣	口口 kk
嚼	口寸 kc
四	囗儿 ke
圣	又土 yt
在	𠂇土 ut
块	土夬 tg
坰	土口 tk
垄	龙土 lt
垒	厶土 st
垦	艮土 gt
垲	土己 tj
埃	土矢 tu
埒	土寸 tc
埚	土内 tn
埠	土十 tu
埯	土电 td
培	土口 tk
埽	土巾 tj
堕	⻖土 et
堙	土土 tt
堞	土木 tm
堲	{艮}土 gt
堽	土正 tv
塑	屰土 nt
塔	土口 tk
塞	宀土 bt
墓	艹土 ct
壁	尸土 ut
夐	⺈攵 dw
够	句夕 jx
夫	二人 er
夺	大寸 dc
奠	丷大 bd
女	𡿨一 va
妾	立女 ln
姜	𦍌女 yn
娄	米女 mn
娟	女⺝ no
娲	女内 nn
婴	贝女 bn
婺	矛女 mn
媾	女冉 nr
嫂	女又 ny
嫕	女心 nx
嫠	未女 wn
嫡	女古 ng
嫩	女攵 nw
嫽	女小 nx
嬖	尸女 un
嬴	亡女 wn
子	了一 la
存	𠂇子 uz
孚	爫子 vz
孛	十子 uz
孜	子攵 zw
孝	耂子 lz
孟	子皿 zm
学	𰃮子 xz
孪	亠子 wz
孱	尸子 uz
孽	艹子 cz
宅	宀七 bq
宏	宀厶 bs
宛	宀㔾 bv
密	宀山 bu
寇	宀又 by
富	宀田 bt
寨	宀木 bm
寮	宀小 bx
对	又寸 yc
寺	土寸 tc
寻	彐寸 ec
导	巳寸 sc
尊	丷寸 bc
尔	⺈小 dx
尝	龸云 xy
尧	𫠠兀 yw
屣	尸龰 uz
峃	𰃮山 xu
峦	亠山 wu
峱	犭山 qu
峻	山夂 uw
崦	山电 ud
嶍	山白 ub
巇	山戈 ug
左	𠂇工 ug
巫	工人 gr
己	コ乚 kv
已	コ乚 kv
巳	コ乚 kv
巷	共巳 gs
巽	巳共 sg
布	𠂇巾 uj
帚	彐巾 ej
帛	白巾 bj
带	{卅}巾 cj
席	广巾 gj
幂	冖巾 bj
幅	巾田 jt
幕	艹巾 cj
年	𠂉㐄 pf
床	广木 gm
庵	广电 gd
廒	广攵 gw
廿	艹一 ca
弃	亠廾 wc
式	弋工 yg
弑	㐅工 xg
彀	士殳 tu
彗	丰彐 fe
彟	彐又 ey
徙	彳龰 rz
徼	彳方 rf
忌	己心 jx
忒	弋心 yx
志	士心 tx
快	忄夬 xg
忱	忄儿 xe
思	田心 tx
怠	厶心 sx
急	⺈心 dx
怨	夕心 xx
总	丷心 bx
恋	亠心 wx
恙	𦍌心 yx
息	自心 zx
恳	艮心 gx
恺	忄己 xj
悉	釆心 cx
悒	忄巴 xb
悖	忄子 xz
悛	忄夂 xw
悠	亻心 rx
悯	忄文 xw
惙	忄又 xy
惹	艹心 cx
意	立心 lx
愠	忄皿 xm
慧	丰心 fx
憋	⺌心 xx
憭	忄小 xx
憺	忄口 xk
懵	忄目 xo
懿	士心 tx
戆	立心 lx
戋	戈一 ga
戟	十戈 ug
戣	癶戈 bg
戮	习戈 xg
戳	习戈 xg
戴	戈共 gg
户	丶尸 du
扇	户习 hx
扈	户巴 hb
托	扌七 fq
抉	扌夬 fg
拣	扌𫠣 fd
挨	扌矢 fu
挹	扌巴 fb
捋	扌寸 fc
捏	扌土 ft
捩	扌犬 fq
掇	扌又 fy
掊	扌口 fk
掏	扌缶 ff
掐	扌臼 fj
掩	扌电 fd
掬	扌米 fm
揆	扌天 ft
插	扌臼 fj
揖	扌耳 fe
搏	扌寸 fc
搐	扌田 ft
搔	扌虫 fi
搜	扌又 fy
搠	扌月 fo
搭	扌口 fk
摔	扌十 fu
摘	扌古 fg
摭	扌灬 fh
摴	扌丂 fk
撅	扌欠 fq
撇	扌攵 fw
撩	扌小 fx
撵	扌车 fi
攥	扌糸 fx
攫	扌又 fy
改	己攵 jw
攻	工攵 gw
放	方攵 fw
敌	舌攵 uw
敛	佥攵 qw
敬	艹攵 cw
敲	亠又 wy
文	亠乂 wx
旁	亠方 wf
旆	方巾 fj
旨	匕日 bo
旻	日文 ow
昃	日人 or
昔	卄日 co
是	日龰 oz
普	丷日 bo
晷	日口 ok
暇	日又 oy
暝	日六 ol
暮	艹日 co
曾	丷日 bo
替	夫曰 fo
有	𠂇月 uo
朝	十月 uo
未	一木 am
末	一木 am
朵	𠘧木 jm
杀	㐅木 xm
杏	木口 mk
杰	木灬 mh
枕	木儿 me
果	田木 tm
枲	厶木 sm
某	甘木 gm
染	氵木 dm
栀	木㔾 mv
栽	戈木 gm
桀	夕木 xm
案	宀木 bm
桊	龹木 jm
桤	木己 mj
桲	木子 mz
梣	木㇇ mv
梦	木夕 mx
梭	木夂 mw
棉	木巾 mj
棓	木口 mk
棱	木夂 mw
棻	艹木 cm
棼	木分 mf
椭	木月 mo
楚	木疋 mz
楫	木耳 me
榑	木寸 mc
榫	木十 mu
槊	屰木 nm
槔	木十 mu
槜	木乃 mn
橘	木口 mk
橛	木欠 mq
檄	木攵 mw
檐	木口 mk
檗	尸木 um
檩	木示 mu
欲	谷欠 gq
歃	千欠 qq
歙	𠆢欠 rq
歹	一夕 ax
殓	歹佥 dq
毁	臼殳 ju
毂	士殳 tu
气	𠂉⺄ pv
氲	气皿 qm
汆	入水 ru
汛	氵十 du
汞	工水 gu
汩	氵曰 do
沈	氵儿 de
沉	氵几 dj
沓	水日 uo
沛	氵巾 dj
泂	氵口 dk
泉	白水 bu
泓	氵厶 ds
泺	氵乐 dl
派	氵{𧘇} dy
浚	氵夂 dw
浟	氵攵 dw
浥	氵巴 db
涅	氵土 dt
涓	氵⺝ do
涡	氵内 dn
涪	氵口 dk
淄	氵田 dt
淏	氵天 dt
淘	氵缶 df
淹	氵电 dd
渑	氵电 dd
温	氵皿 dm
湣	氵日 do
湮	氵土 dt
溘	氵皿 dm
溚	氵口 dk
溟	氵六 dl
溥	氵寸 dc
溲	氵又 dy
滔	氵臼 dj
滴	氵古 dg
漆	氵氺 du
漏	氵雨 dy
漪	氵可 dk
漱	氵欠 dq
潏	氵口 dk
潦	氵小 dx
潺	氵子 dz
澍	氵寸 dc
澹	氵口 dk
澼	氵辛 dx
激	氵攵 dw
濩	氵又 dy
濮	氵夫 df
瀍	氵土 dt
瀵	氵共 dg
瀹	氵卄 dc
灰	𠂇火 uh
灵	彐火 eh
灾	宀火 bh
炔	火夬 hg
炱	厶火 sh
炼	火𫠣 hd
烁	火乐 hl
焆	火⺝ ho
焙	火口 hk
焦	亻灬 rh
焰	火臼 hj
熏	千灬 qh
熜	火心 hx
熬	龶灬 fh
熹	士灬 th
燊	火木 hm
燎	火小 hx
燏	火口 hk
燕	廿灬 ch
燮	火又 hy
爚	火卄 hc
父	八乂 bx
牵	大牛 dn
犀	尸牛 un
犬	大丶 dd
狴	犭土 qt
狷	犭⺝ qo
狻	犭夂 qw
獒	龶犬 fq
獗	犭欠 qq
獠	犭小 qx
玃	犭又 qy
玉	王丶 wd
玦	𤣩夬 wg
玺	⺈玉 dy
琄	𤣩⺝ wo
琛	𤣩木 wm
琶	𤣩巴 wb
瑕	𤣩又 wy
璁	𤣩心 wx
璈	𤣩攵 ww
璨	𤣩米 wm
璬	𤣩攵 ww
甘	廿一 ca
电	日乚 ov
畜	玄田 xt
畲	𠆢田 rt
疁	田彡 tp
疐	十疋 uz
瘌	疒刂 bd
瘕	疒又 by
瘙	疒虫 bi
瘛	疒心 bx
瘟	疒皿 bm
瘦	疒又 by
瘩	疒口 bk
癖	疒辛 bx
癜	疒殳 bu
白	丿日 po
皑	白己 bj
皞	白十 bu
皦	白攵 bw
皴	允皮 yp
盖	𦍌皿 ym
盘	舟皿 vm
眈	目儿 oe
眢	夕目 xo
眷	龹目 jo
眸	目牛 on
睽	目天 ot
瞀	矛目 mo
瞌	目皿 om
瞍	目又 oy
瞑	目六 ol
瞥	⺌目 xo
瞭	目小 ox
瞻	目口 ok
矍	目又 oy
知	矢口 uk
砉	丰石 fu
砻	龙石 lu
砾	石乐 ul
硇	石㐅 ux
碚	石口 uk
碟	石木 um
碧	𤣩石 wu
磔	石木 um
磕	石皿 um
磨	广石 gu
磬	士石 tu
社	礻土 pt
祁	礻⻏ pe
祟	出示 iu
祭	𱼀示 xu
祸	礻内 pn
禋	礻土 pt
福	礻田 pt
禒	礻𧰨 pu
秉	千人 qr
穷	宀力 bl
穸	宀夕 bx
空	宀工 bg
突	宀犬 bq
窃	宀刀 bd
窄	宀乍 bv
窅	宀目 bo
窈	宀力 bl
窑	宀缶 bf
窒	宀土 bt
窖	宀口 bk
窗	宀夂 bw
窘	宀口 bk
窟	宀出 bi
窠	宀果 bg
窣	宀十 bu
窦	宀⺀ bd
窨	宀日 bo
窬	宀刂 bd
窭	宀女 bn
窸	宀心 bx
窿	宀生 bu
竑	立厶 ls
竣	立夂 lw
筇	竹⻏ ve
筱	竹攵 vw
篼	竹儿 ve
簌	竹欠 vq
簠	竹皿 vm
簪	竹曰 vo
簿	竹寸 vc
籍	竹日 vo
籥	竹卄 vc
